task_number,average_discounted_return,average_discounted_return_lo,average_discounted_return_up
0,0.06551208368299048,0.04961246827655268,0.08141169908942827
1,0.06274025084076446,0.04645077416849003,0.07902972751303888
2,0.07233645046989344,0.054870856814744184,0.0898020441250427
3,0.05366153547324349,0.0382501248593083,0.06907294608717868
4,0.055667317204323746,0.03973105359513915,0.07160358081350834
5,0.04812334739894625,0.03484240755407858,0.061404287243813915
6,0.06250156931312092,0.04652612197516563,0.07847701665107622
7,0.05203064218688522,0.0360412573120762,0.06802002706169424
8,0.0700242565297616,0.052855126129533046,0.08719338692999015
9,0.07107984527521555,0.054099563052960514,0.08806012749747058
10,0.05719449970641146,0.041199466527309034,0.07318953288551389
11,0.06415499300847555,0.04717847720260504,0.08113150881434605
12,0.07207444686529291,0.055759741424647416,0.0883891523059384
13,0.05222335586557533,0.03749168345412895,0.06695502827702172
14,0.04904976990225477,0.03643794780969854,0.061661591994811
15,0.05930981234927061,0.0441952461800425,0.07442437851849872
16,0.07403355053845867,0.057509383499726355,0.09055771757719099
17,0.050669417850605865,0.036567567329689486,0.06477126837152225
18,0.058926171706021775,0.04273537720894915,0.07511696620309441
19,0.05579871377503548,0.04086263693564799,0.07073479061442298
