instance,task,episode,return,discounted_return
0,4,50,1.9084771904479352,1.3240643498572608
0,5,1,0.0,0.0
0,5,2,0.0,0.0
0,5,3,0.0,0.0
0,5,4,0.0,0.0
0,5,5,0.0,0.0
0,5,6,0.0,0.0
0,5,7,0.0,0.0
0,5,8,0.0,0.0
0,5,9,0.0,0.0
0,5,10,0.0,0.0
0,5,11,0.9500375503466977,0.6925773742027427
0,5,12,0.0,0.0
0,5,13,0.0,0.0
0,5,14,0.0,0.0
0,5,15,0.0,0.0
0,5,16,0.0,0.0
0,5,17,0.0,0.0
0,5,18,0.0,0.0
0,5,19,0.0,0.0
0,5,20,0.9927521627686473,0.723716326658344
0,5,21,0.0,0.0
0,5,22,1.9389904145842758,1.3414293484290178
0,5,23,0.0,0.0
0,5,24,0.0,0.0
0,5,25,0.0,0.0
0,5,26,0.0,0.0
0,5,27,0.0,0.0
0,5,28,0.0,0.0
0,5,29,0.0,0.0
0,5,30,0.0,0.0
0,5,31,0.0,0.0
0,5,32,0.0,0.0
0,5,33,0.9927521627686473,0.723716326658344
0,5,34,1.9855043255372946,1.3750610206508536
0,5,35,1.9817050270062255,1.372568300884619
0,5,36,1.9817050270062255,1.372568300884619
0,5,37,1.9817050270062255,1.372568300884619
0,5,38,1.9817050270062255,1.372568300884619
0,5,39,1.9817050270062255,1.372568300884619
0,5,40,1.9817050270062255,1.372568300884619
0,5,41,1.9817050270062255,1.372568300884619
0,5,42,1.9817050270062255,1.372568300884619
0,5,43,1.9817050270062255,1.372568300884619
0,5,44,0.9500375503466977,0.6925773742027427
0,5,45,1.9817050270062255,1.372568300884619
0,5,46,1.9817050270062255,1.372568300884619
0,5,47,1.9817050270062255,1.372568300884619
0,5,48,1.9817050270062255,1.372568300884619
0,5,49,1.9817050270062255,1.372568300884619
0,5,50,1.9817050270062255,1.372568300884619
0,6,1,0.9272461933812606,0.6083662274774451
0,6,2,0.0,0.0
0,6,3,0.0,0.0
0,6,4,0.0,0.0
0,6,5,0.0,0.0
0,6,6,0.0,0.0
0,6,7,0.0,0.0
0,6,8,0.0,0.0
0,6,9,1.9266962226218993,1.3317016391597223
0,6,10,0.0,0.0
0,6,11,0.0,0.0
0,6,12,0.0,0.0
0,6,13,0.0,0.0
0,6,14,0.0,0.0
0,6,15,0.0,0.0
0,6,16,0.9535754355471967,0.6951564925139064
0,6,17,0.0,0.0
0,6,18,0.0,0.0
0,6,19,0.9535754355471967,0.6256408432625158
0,6,20,0.0,0.0
0,6,21,0.0,0.0
0,6,22,0.0,0.0
0,6,23,0.0,0.0
0,6,24,0.0,0.0
0,6,25,0.0,0.0
0,6,26,0.0,0.0
0,6,27,0.0,0.0
0,6,28,0.0,0.0
0,6,29,1.9071508710943934,1.3207973357764222
0,6,30,0.0,0.0
0,6,31,0.0,0.0
0,6,32,0.0,0.0
0,6,33,1.9530254647878356,1.3508956566986896
0,6,34,0.0,0.0
0,6,35,0.0,0.0
0,6,36,0.0,0.0
0,6,37,0.9535754355471967,0.6951564925139064
0,6,38,1.9530254647878356,1.3508956566986896
0,6,39,1.9530254647878356,1.3508956566986896
0,6,40,1.9530254647878356,1.3508956566986896
0,6,41,1.9530254647878356,1.3508956566986896
0,6,42,1.9530254647878356,1.3508956566986896
0,6,43,1.9530254647878356,1.3508956566986896
0,6,44,1.9530254647878356,1.3508956566986896
0,6,45,1.9530254647878356,1.3508956566986896
0,6,46,1.9530254647878356,1.3508956566986896
0,6,47,0.0,0.0
0,6,48,1.9530254647878356,1.3508956566986896
0,6,49,1.9530254647878356,1.3508956566986896
0,6,50,1.9530254647878356,1.3508956566986896
0,7,1,0.0,0.0
0,7,2,0.0,0.0
0,7,3,0.0,0.0
0,7,4,0.0,0.0
0,7,5,0.0,0.0
0,7,6,0.0,0.0
0,7,7,0.0,0.0
0,7,8,0.0,0.0
0,7,9,0.0,0.0
0,7,10,0.0,0.0
0,7,11,0.9927521627686473,0.723716326658344
0,7,12,0.0,0.0
0,7,13,0.9500375503466977,0.6925773742027427
0,7,14,0.0,0.0
0,7,15,0.0,0.0
0,7,16,0.0,0.0
0,7,17,0.0,0.0
0,7,18,0.0,0.0
0,7,19,0.0,0.0
0,7,20,0.9500375503466977,0.6925773742027427
0,7,21,1.9000751006933954,1.315897010985211
0,7,22,0.0,0.0
0,7,23,0.0,0.0
0,7,24,0.0,0.0
0,7,25,0.0,0.0
0,7,26,0.9500375503466977,0.6233196367824684
0,7,27,0.0,0.0
0,7,28,0.0,0.0
0,7,29,0.0,0.0
0,7,30,0.0,0.0
0,7,31,0.0,0.0
0,7,32,0.0,0.0
0,7,33,0.0,0.0
0,7,34,0.0,0.0
0,7,35,1.9817050270062255,1.372568300884619
0,7,36,1.9855043255372946,1.3750610206508536
0,7,37,0.9927521627686473,0.723716326658344
0,7,38,1.9817050270062255,1.372568300884619
0,7,39,1.9817050270062255,1.372568300884619
0,7,40,1.9817050270062255,1.372568300884619
0,7,41,1.9817050270062255,1.372568300884619
0,7,42,1.9817050270062255,1.372568300884619
0,7,43,1.9817050270062255,1.372568300884619
0,7,44,0.0,0.0
0,7,45,1.9817050270062255,1.372568300884619
0,7,46,1.9817050270062255,1.372568300884619
0,7,47,1.9817050270062255,1.372568300884619
0,7,48,1.9817050270062255,1.372568300884619
0,7,49,1.9817050270062255,1.372568300884619
0,7,50,1.9817050270062255,1.372568300884619
0,8,1,0.9272461933812606,0.6083662274774451
0,8,2,0.0,0.0
0,8,3,0.0,0.0
0,8,4,0.0,0.0
0,8,5,1.9530254647878356,1.3508956566986896
0,8,6,0.0,0.0
0,8,7,0.0,0.0
0,8,8,0.0,0.0
0,8,9,0.0,0.0
0,8,10,0.0,0.0
0,8,11,0.0,0.0
0,8,12,0.0,0.0
0,8,13,0.0,0.0
0,8,14,0.0,0.0
0,8,15,0.0,0.0
0,8,16,0.9272461933812606,0.675962474974939
0,8,17,0.0,0.0
0,8,18,0.0,0.0
0,8,19,0.0,0.0
0,8,20,0.0,0.0
0,8,21,0.0,0.0
0,8,22,0.0,0.0
0,8,23,0.0,0.0
0,8,24,0.0,0.0
0,8,25,0.9535754355471967,0.6951564925139064
0,8,26,0.0,0.0
0,8,27,0.0,0.0
0,8,28,0.0,0.0
0,8,29,0.0,0.0
0,8,30,0.0,0.0
0,8,31,0.0,0.0
0,8,32,0.0,0.0
0,8,33,0.0,0.0
0,8,34,0.0,0.0
0,8,35,1.9071508710943934,1.3207973357764222
0,8,36,0.9535754355471967,0.6951564925139064
0,8,37,1.9530254647878356,1.3508956566986896
0,8,38,1.9530254647878356,1.3508956566986896
0,8,39,1.9530254647878356,1.3508956566986896
0,8,40,1.9530254647878356,1.3508956566986896
0,8,41,1.9530254647878356,1.3508956566986896
0,8,42,1.9530254647878356,1.3508956566986896
0,8,43,1.9530254647878356,1.3508956566986896
0,8,44,1.9530254647878356,1.3508956566986896
0,8,45,1.9530254647878356,1.3508956566986896
0,8,46,1.9530254647878356,1.3508956566986896
0,8,47,1.9530254647878356,1.3508956566986896
0,8,48,1.9530254647878356,1.3508956566986896
0,8,49,0.9535754355471967,0.6951564925139064
0,8,50,1.9530254647878356,1.3508956566986896
0,9,1,0.0,0.0
0,9,2,0.0,0.0
0,9,3,0.0,0.0
0,9,4,0.0,0.0
0,9,5,0.0,0.0
0,9,6,0.9362769121817671,0.6825458689805083
0,9,7,0.0,0.0
0,9,8,0.0,0.0
0,9,9,0.0,0.0
0,9,10,0.0,0.0
0,9,11,0.0,0.0
0,9,12,0.9362769121817671,0.6825458689805083
0,9,13,0.0,0.0
0,9,14,0.0,0.0
0,9,15,0.9592144386406927,0.699267325769065
0,9,16,0.0,0.0
0,9,17,0.0,0.0
0,9,18,0.0,0.0
0,9,19,0.0,0.0
0,9,20,0.0,0.0
0,9,21,0.0,0.0
0,9,22,0.0,0.0
0,9,23,0.0,0.0
0,9,24,0.0,0.0
0,9,25,0.0,0.0
0,9,26,0.0,0.0
0,9,27,0.0,0.0
0,9,28,0.0,0.0
0,9,29,0.0,0.0
0,9,30,0.0,0.0
0,9,31,0.0,0.0
0,9,32,0.0,0.0
0,9,33,0.0,0.0
0,9,34,0.0,0.0
0,9,35,0.9362769121817671,0.6142912820824574
0,9,36,0.9592144386406927,0.699267325769065
0,9,37,1.9184288772813853,1.3286079189612234
0,9,38,1.8842840987423541,1.3062055297617652
0,9,39,1.8613465722834286,1.2894840729732084
0,9,40,1.8725538243635342,1.2968371510629657
0,9,41,1.8842840987423541,1.3062055297617652
0,9,42,1.8842840987423541,1.3062055297617652
0,9,43,1.8842840987423541,1.3062055297617652
0,9,44,1.8842840987423541,1.3062055297617652
0,9,45,1.8842840987423541,1.3062055297617652
0,9,46,1.8842840987423541,1.3062055297617652
0,9,47,1.8842840987423541,1.3062055297617652
0,9,48,1.8842840987423541,1.3062055297617652
0,9,49,1.8842840987423541,1.3062055297617652
0,9,50,1.8842840987423541,1.3062055297617652
0,10,1,0.0,0.0
0,10,2,0.0,0.0
0,10,3,0.0,0.0
0,10,4,0.0,0.0
0,10,5,0.0,0.0
0,10,6,0.0,0.0
0,10,7,0.0,0.0
0,10,8,0.0,0.0
0,10,9,0.0,0.0
0,10,10,0.0,0.0
0,10,11,0.0,0.0
0,10,12,0.9272461933812606,0.675962474974939
0,10,13,0.0,0.0
0,10,14,0.0,0.0
0,10,15,0.9535754355471967,0.6951564925139064
0,10,16,0.0,0.0
0,10,17,0.0,0.0
0,10,18,0.0,0.0
0,10,19,0.0,0.0
0,10,20,0.0,0.0
0,10,21,0.0,0.0
0,10,22,1.9071508710943934,1.3207973357764222
0,10,23,0.9535754355471967,0.6951564925139064
0,10,24,0.0,0.0
0,10,25,0.0,0.0
0,10,26,0.0,0.0
0,10,27,0.0,0.0
0,10,28,0.0,0.0
0,10,29,0.0,0.0
0,10,30,0.0,0.0
0,10,31,0.0,0.0
0,10,32,0.0,0.0
0,10,33,0.0,0.0
0,10,34,0.0,0.0
0,10,35,1.8544923867625211,1.2843287024523842
0,10,36,1.9071508710943934,1.3207973357764222
0,10,37,0.9272461933812606,0.675962474974939
0,10,38,1.9266962226218993,1.3317016391597223
0,10,39,1.9266962226218993,1.3317016391597223
0,10,40,1.9266962226218993,1.3317016391597223
0,10,41,1.9266962226218993,1.3317016391597223
0,10,42,1.9266962226218993,1.3317016391597223
0,10,43,1.9266962226218993,1.3317016391597223
0,10,44,1.9266962226218993,1.3317016391597223
0,10,45,1.9266962226218993,1.3317016391597223
0,10,46,1.9266962226218993,1.3317016391597223
0,10,47,0.0,0.0
0,10,48,1.9266962226218993,1.3317016391597223
0,10,49,1.9266962226218993,1.3317016391597223
0,10,50,0.9272461933812606,0.675962474974939
0,11,1,0.9535754355471967,0.6951564925139064
0,11,2,0.0,0.0
0,11,3,0.0,0.0
0,11,4,0.9535754355471967,0.6256408432625158
0,11,5,0.0,0.0
0,11,6,0.0,0.0
0,11,7,0.0,0.0
0,11,8,0.0,0.0
0,11,9,0.0,0.0
0,11,10,0.0,0.0
0,11,11,0.0,0.0
0,11,12,0.0,0.0
0,11,13,0.0,0.0
0,11,14,0.0,0.0
0,11,15,0.0,0.0
0,11,16,0.0,0.0
0,11,17,0.0,0.0
0,11,18,0.0,0.0
0,11,19,0.0,0.0
0,11,20,1.9266962226218993,1.3317016391597223
0,11,21,0.9272461933812606,0.675962474974939
0,11,22,0.0,0.0
0,11,23,0.0,0.0
0,11,24,0.0,0.0
0,11,25,0.0,0.0
0,11,26,0.0,0.0
0,11,27,0.0,0.0
0,11,28,0.0,0.0
0,11,29,0.0,0.0
0,11,30,0.0,0.0
0,11,31,0.0,0.0
0,11,32,0.0,0.0
0,11,33,0.0,0.0
0,11,34,1.9071508710943934,1.3207973357764222
0,11,35,0.0,0.0
0,11,36,0.9535754355471967,0.6951564925139064
0,11,37,1.9530254647878356,1.3508956566986896
0,11,38,0.0,0.0
0,11,39,1.9530254647878356,1.3508956566986896
0,11,40,1.9530254647878356,1.3508956566986896
0,11,41,1.9530254647878356,1.3508956566986896
0,11,42,1.9530254647878356,1.3508956566986896
0,11,43,1.9530254647878356,1.3508956566986896
0,11,44,1.9530254647878356,1.3508956566986896
0,11,45,1.9530254647878356,1.3508956566986896
0,11,46,1.9530254647878356,1.3508956566986896
0,11,47,1.9530254647878356,1.3508956566986896
0,11,48,1.9530254647878356,1.3508956566986896
0,11,49,1.9530254647878356,1.3508956566986896
0,11,50,1.9530254647878356,1.3508956566986896
0,12,1,0.0,0.0
0,12,2,0.0,0.0
0,12,3,0.0,0.0
0,12,4,0.0,0.0
0,12,5,0.0,0.0
0,12,6,0.0,0.0
0,12,7,0.0,0.0
0,12,8,0.0,0.0
0,12,9,0.0,0.0
0,12,10,0.0,0.0
0,12,11,1.9530254647878356,1.3508956566986896
0,12,12,0.0,0.0
0,12,13,0.9272461933812606,0.675962474974939
0,12,14,0.0,0.0
0,12,15,0.0,0.0
0,12,16,0.0,0.0
0,12,17,0.0,0.0
0,12,18,0.9272461933812606,0.675962474974939
0,12,19,0.0,0.0
0,12,20,0.9535754355471967,0.6951564925139064
0,12,21,0.0,0.0
0,12,22,0.0,0.0
0,12,23,0.0,0.0
0,12,24,0.0,0.0
0,12,25,0.0,0.0
0,12,26,0.0,0.0
0,12,27,1.9071508710943934,1.3207973357764222
0,12,28,0.0,0.0
0,12,29,0.0,0.0
0,12,30,0.0,0.0
0,12,31,0.0,0.0
0,12,32,0.0,0.0
0,12,33,0.9535754355471967,0.6951564925139064
0,12,34,1.9530254647878356,1.3508956566986896
0,12,35,1.9530254647878356,1.3508956566986896
0,12,36,0.0,0.0
0,12,37,1.9530254647878356,1.3508956566986896
0,12,38,1.9071508710943934,1.3207973357764222
0,12,39,1.9530254647878356,1.3508956566986896
0,12,40,1.9530254647878356,1.3508956566986896
0,12,41,1.9530254647878356,1.3508956566986896
0,12,42,1.9530254647878356,1.3508956566986896
0,12,43,1.9530254647878356,1.3508956566986896
0,12,44,1.9530254647878356,1.3508956566986896
0,12,45,1.9530254647878356,1.3508956566986896
0,12,46,1.9530254647878356,1.3508956566986896
0,12,47,1.9530254647878356,1.3508956566986896
0,12,48,1.9530254647878356,1.3508956566986896
0,12,49,1.9530254647878356,1.3508956566986896
0,12,50,0.9535754355471967,0.6256408432625158
0,13,1,0.0,0.0
0,13,2,0.0,0.0
0,13,3,0.0,0.0
0,13,4,0.0,0.0
0,13,5,1.9084771904479352,1.3240643498572608
0,13,6,0.0,0.0
0,13,7,0.0,0.0
0,13,8,0.0,0.0
0,13,9,0.0,0.0
0,13,10,0.0,0.0
0,13,11,0.0,0.0
0,13,12,0.0,0.0
0,13,13,0.0,0.0
0,13,14,0.0,0.0
0,13,15,0.0,0.0
0,13,16,0.0,0.0
0,13,17,0.0,0.0
0,13,18,0.9864535693329278,0.647212186839334
0,13,19,0.0,0.0
0,13,20,0.9416046856250726,0.686429815820678
0,13,21,0.0,0.0
0,13,22,0.0,0.0
0,13,23,0.0,0.0
0,13,24,0.0,0.0
0,13,25,0.0,0.0
0,13,26,0.0,0.0
0,13,27,0.9416046856250726,0.6177868342386101
0,13,28,0.0,0.0
0,13,29,0.0,0.0
0,13,30,0.0,0.0
0,13,31,1.9729071386658557,1.3663368388830386
0,13,32,0.9864535693329278,0.7191246520437045
0,13,33,1.8636283067400798,1.2913695136342342
0,13,34,0.9864535693329278,0.7191246520437045
0,13,35,0.9416046856250726,0.686429815820678
0,13,36,1.8832093712501452,1.304216650059288
0,13,37,0.0,0.0
0,13,38,1.9084771904479352,1.3240643498572608
0,13,39,0.0,0.0
0,13,40,1.9084771904479352,1.3240643498572608
0,13,41,1.9084771904479352,1.3240643498572608
0,13,42,1.9729071386658557,1.3663368388830386
0,13,43,1.9084771904479352,1.3240643498572608
0,13,44,1.9084771904479352,1.3240643498572608
0,13,45,0.0,0.0
0,13,46,0.0,0.0
0,13,47,0.0,0.0
0,13,48,1.9084771904479352,1.3240643498572608
0,13,49,1.9084771904479352,1.3240643498572608
0,13,50,1.9084771904479352,1.3240643498572608
0,14,1,0.0,0.0
0,14,2,0.0,0.0
0,14,3,0.0,0.0
0,14,4,0.0,0.0
0,14,5,0.0,0.0
0,14,6,0.0,0.0
0,14,7,0.0,0.0
0,14,8,1.8842840987423541,1.3062055297617652
0,14,9,0.0,0.0
0,14,10,0.0,0.0
0,14,11,0.0,0.0
0,14,12,0.0,0.0
0,14,13,1.8725538243635342,1.2968371510629657
0,14,14,0.0,0.0
0,14,15,0.0,0.0
0,14,16,0.0,0.0
0,14,17,0.0,0.0
0,14,18,0.0,0.0
0,14,19,0.0,0.0
0,14,20,0.9592144386406927,0.699267325769065
0,14,21,0.0,0.0
0,14,22,0.0,0.0
0,14,23,0.0,0.0
0,14,24,0.0,0.0
0,14,25,0.0,0.0
0,14,26,0.0,0.0
0,14,27,0.0,0.0
0,14,28,0.0,0.0
0,14,29,0.0,0.0
0,14,30,0.0,0.0
0,14,31,0.0,0.0
0,14,32,0.0,0.0
0,14,33,0.0,0.0
0,14,34,0.0,0.0
0,14,35,1.9184288772813853,1.3286079189612234
0,14,36,0.0,0.0
0,14,37,0.9592144386406927,0.699267325769065
0,14,38,0.9362769121817671,0.6825458689805083
0,14,39,0.9362769121817671,0.6825458689805083
0,14,40,0.9362769121817671,0.6825458689805083
0,14,41,1.8842840987423541,1.3062055297617652
0,14,42,0.0,0.0
0,14,43,1.8842840987423541,1.3062055297617652
0,14,44,1.8842840987423541,1.3062055297617652
0,14,45,1.8842840987423541,1.3062055297617652
0,14,46,1.8842840987423541,1.3062055297617652
0,14,47,1.8842840987423541,1.3062055297617652
0,14,48,1.8842840987423541,1.3062055297617652
0,14,49,1.8842840987423541,1.3062055297617652
0,14,50,1.8842840987423541,1.3062055297617652
0,15,1,0.0,0.0
0,15,2,0.0,0.0
0,15,3,0.0,0.0
0,15,4,0.0,0.0
0,15,5,0.0,0.0
0,15,6,0.0,0.0
0,15,7,0.0,0.0
0,15,8,0.0,0.0
0,15,9,0.0,0.0
0,15,10,0.0,0.0
0,15,11,0.0,0.0
0,15,12,0.0,0.0
0,15,13,0.0,0.0
0,15,14,0.0,0.0
0,15,15,0.0,0.0
0,15,16,0.0,0.0
0,15,17,0.0,0.0
0,15,18,0.0,0.0
0,15,19,1.9530254647878356,1.3508956566986896
0,15,20,0.0,0.0
0,15,21,0.0,0.0
0,15,22,0.0,0.0
0,15,23,0.0,0.0
0,15,24,0.0,0.0
0,15,25,0.0,0.0
0,15,26,0.0,0.0
0,15,27,1.9071508710943934,1.3207973357764222
0,15,28,0.9272461933812606,0.675962474974939
0,15,29,0.0,0.0
0,15,30,0.9535754355471967,0.6951564925139064
0,15,31,0.9535754355471967,0.6951564925139064
0,15,32,0.0,0.0
0,15,33,1.9530254647878356,1.3508956566986896
0,15,34,1.9530254647878356,1.3508956566986896
0,15,35,1.9530254647878356,1.3508956566986896
0,15,36,1.9530254647878356,1.3508956566986896
0,15,37,1.9530254647878356,1.3508956566986896
0,15,38,0.0,0.0
0,15,39,1.9530254647878356,1.3508956566986896
0,15,40,1.9530254647878356,1.3508956566986896
0,15,41,1.9530254647878356,1.3508956566986896
0,15,42,0.0,0.0
0,15,43,1.9530254647878356,1.3508956566986896
0,15,44,1.9530254647878356,1.3508956566986896
0,15,45,1.9530254647878356,1.3508956566986896
0,15,46,1.9530254647878356,1.3508956566986896
0,15,47,1.9530254647878356,1.3508956566986896
0,15,48,1.9530254647878356,1.3508956566986896
0,15,49,1.9530254647878356,1.3508956566986896
0,15,50,1.9530254647878356,1.3508956566986896
0,16,1,0.0,0.0
0,16,2,0.0,0.0
0,16,3,0.0,0.0
0,16,4,0.0,0.0
0,16,5,0.0,0.0
0,16,6,0.0,0.0
0,16,7,0.0,0.0
0,16,8,0.0,0.0
0,16,9,0.0,0.0
0,16,10,0.0,0.0
0,16,11,0.0,0.0
0,16,12,0.0,0.0
0,16,13,0.0,0.0
0,16,14,0.0,0.0
0,16,15,1.8725538243635342,1.2968371510629657
0,16,16,0.0,0.0
0,16,17,0.0,0.0
0,16,18,0.0,0.0
0,16,19,0.0,0.0
0,16,20,0.9592144386406927,0.699267325769065
0,16,21,0.0,0.0
0,16,22,0.0,0.0
0,16,23,0.0,0.0
0,16,24,0.0,0.0
0,16,25,0.0,0.0
0,16,26,0.0,0.0
0,16,27,0.0,0.0
0,16,28,0.9362769121817671,0.6825458689805083
0,16,29,0.0,0.0
0,16,30,0.0,0.0
0,16,31,0.0,0.0
0,16,32,1.8842840987423541,1.3062055297617652
0,16,33,0.0,0.0
0,16,34,0.0,0.0
0,16,35,0.9592144386406927,0.699267325769065
