task_number,average_return,average_return_lo,average_return_up
0,0.6756920631740375,0.5726726464546396,0.7787114798934355
1,0.6756920631740375,0.5726726464546396,0.7787114798934355
2,0.7692463483271134,0.6519631738793851,0.8865295227748416
3,0.6396658698873552,0.5421391881300643,0.737192551644646
4,0.6583666256567545,0.5521548029434707,0.7645784483700383
5,0.6559097042367076,0.5559064056429011,0.7559130028305141
6,0.6751058172122544,0.578200393574444,0.7720112408500648
7,0.6727279017812385,0.576163806711991,0.7692919968504861
8,0.7495220829853925,0.6286044916382878,0.8704396743324971
9,0.7692463483271134,0.6519631738793851,0.8865295227748416
10,0.7692463483271134,0.6519631738793851,0.8865295227748416
11,0.6582281717819481,0.5578713879435887,0.7585849556203076
12,0.6396658698873552,0.5421391881300643,0.737192551644646
13,0.6232641809158845,0.5227153041848656,0.7238130576469035
14,0.6232641809158845,0.5227153041848656,0.7238130576469035
15,0.6582281717819481,0.5578713879435887,0.7585849556203076
16,0.6396658698873552,0.5421391881300643,0.737192551644646
17,0.6559097042367076,0.5559064056429011,0.7559130028305141
18,0.6930175006913205,0.5935410145158286,0.7924939868668124
19,0.788970613668834,0.6757209132425024,0.9022203140951657
20,0.6582281717819481,0.5578713879435887,0.7585849556203076
21,0.6727279017812386,0.5761638067119911,0.7692919968504862
22,0.6756920631740375,0.5726726464546396,0.7787114798934355
23,0.6582281717819481,0.5578713879435887,0.7585849556203076
24,0.6756920631740375,0.5726726464546396,0.7787114798934355
25,0.6751058172122544,0.578200393574444,0.7720112408500648
26,0.6756920631740375,0.5726726464546396,0.7787114798934355
27,0.7495220829853925,0.6286044916382878,0.8704396743324971
28,0.6559097042367076,0.5559064056429011,0.7559130028305141
29,0.7692463483271134,0.6519631738793851,0.8865295227748416
30,0.6751058172122544,0.578200393574444,0.7720112408500648
31,0.6751058172122544,0.578200393574444,0.7720112408500648
32,0.6559097042367076,0.5559064056429011,0.7559130028305141
33,0.6756920631740375,0.5726726464546396,0.7787114798934355
34,0.7692463483271134,0.6519631738793851,0.8865295227748416
35,0.6756920631740375,0.5726726464546396,0.7787114798934355
36,0.6390915066921766,0.5359892667530819,0.7421937466312714
37,0.7103429382086035,0.6147988932558617,0.8058869831613453
38,0.6756920631740375,0.5726726464546396,0.7787114798934355
39,0.6396658698873552,0.5421391881300643,0.737192551644646
40,0.6390915066921766,0.5359892667530819,0.7421937466312714
41,0.6930175006913205,0.5935410145158286,0.7924939868668124
42,0.6559097042367076,0.5559064056429011,0.7559130028305141
43,0.7692463483271134,0.6519631738793851,0.8865295227748416
44,0.6559097042367076,0.5559064056429011,0.7559130028305141
45,0.7889706136688343,0.6757209132425026,0.9022203140951659
46,0.7889706136688343,0.6757209132425026,0.9022203140951659
47,0.6583666256567545,0.5521548029434707,0.7645784483700383
48,0.6396658698873552,0.5421391881300643,0.737192551644646
49,0.7889706136688343,0.6757209132425026,0.9022203140951659
